"measure","max_push_pop","nb_threads","non_blocking","try","thread","global_start_sec","global_start_nsec","global_stop_sec","global_stop_nsec","thread_start_sec","thread_start_nsec","thread_stop_sec","thread_stop_nsec"
1,500000,4,0,3,3,1291,465446663,1291,526009089,1291,465551855,1291,524514668
1,500000,4,1,1,0,1291,669555701,1291,729789347,1291,669622127,1291,727852572
1,500000,4,1,1,1,1291,669555701,1291,729789347,1291,669631627,1291,729753026
1,500000,4,1,1,2,1291,669555701,1291,729789347,1291,669645876,1291,712606336
1,500000,4,1,1,3,1291,669555701,1291,729789347,1291,672050989,1291,729747228
1,500000,4,1,2,0,1291,816632415,1291,874366094,1291,816693883,1291,868294743
1,500000,4,1,2,1,1291,816632415,1291,874366094,1291,816703103,1291,866689401
1,500000,4,1,2,2,1291,816632415,1291,874366094,1291,816716583,1291,874037524
1,500000,4,1,2,3,1291,816632415,1291,874366094,1291,824084892,1291,874332007
1,500000,4,1,3,0,1291,962708472,1292,19963544,1291,962771476,1292,2229075
1,500000,4,1,3,1,1291,962708472,1292,19963544,1291,962781325,1292,18981955
1,500000,4,1,3,2,1291,962708472,1292,19963544,1291,962794317,1292,19804568
1,500000,4,1,3,3,1291,962708472,1292,19963544,1291,968030831,1292,19950133
1,500000,4,2,1,0,1292,126383491,1292,212881976,1292,126446564,1292,210866482
1,500000,4,2,1,1,1292,126383491,1292,212881976,1292,126459905,1292,212796691
1,500000,4,2,1,2,1292,126383491,1292,212881976,1292,126465354,1292,212291682
1,500000,4,2,1,3,1292,126383491,1292,212881976,1292,126470103,1292,212848379
1,500000,4,2,2,0,1292,304769585,1292,387597284,1292,304832938,1292,387582126
1,500000,4,2,2,1,1292,304769585,1292,387597284,1292,304839853,1292,386908921
1,500000,4,2,2,2,1292,304769585,1292,387597284,1292,304853334,1292,386431852
1,500000,4,2,2,3,1292,304769585,1292,387597284,1292,304892170,1292,386723821
1,500000,4,2,3,0,1292,527296984,1292,612521692,1292,527365017,1292,607342525
1,500000,4,2,3,1,1292,527296984,1292,612521692,1292,527372840,1292,612484253
1,500000,4,2,3,2,1292,527296984,1292,612521692,1292,527386740,1292,612478875
1,500000,4,2,3,3,1292,527296984,1292,612521692,1292,527391350,1292,612138850
1,500000,5,0,1,0,1292,717196985,1292,777939323,1292,717258801,1292,777906075
1,500000,5,0,1,1,1292,717196985,1292,777939323,1292,717267533,1292,777774409
1,500000,5,0,1,2,1292,717196985,1292,777939323,1292,717280944,1292,776518733
1,500000,5,0,1,3,1292,717196985,1292,777939323,1292,717302527,1292,777130052
1,500000,5,0,1,4,1292,717196985,1292,777939323,1292,717324040,1292,777903351
1,500000,5,0,2,0,1292,872439915,1292,932506952,1292,872502709,1292,931531859
1,500000,5,0,2,1,1292,872439915,1292,932506952,1292,872515212,1292,932402248
1,500000,5,0,2,2,1292,872439915,1292,932506952,1292,872527785,1292,932450444
1,500000,5,0,2,3,1292,872439915,1292,932506952,1292,872532674,1292,924186254
1,500000,5,0,2,4,1292,872439915,1292,932506952,1292,872538402,1292,931471160
1,500000,5,0,3,0,1293,25700109,1293,87546760,1293,25764300,1293,83396120
1,500000,5,0,3,1,1293,25700109,1293,87546760,1293,25775267,1293,87514769
1,500000,5,0,3,2,1293,25700109,1293,87546760,1293,25763742,1293,87031135
1,500000,5,0,3,3,1293,25700109,1293,87546760,1293,25779877,1293,87440310
1,500000,5,0,3,4,1293,25700109,1293,87546760,1293,25813334,1293,86658141
1,500000,5,1,1,0,1293,238223842,1293,295658740,1293,238286776,1293,273141579
1,500000,5,1,1,1,1293,238223842,1293,295658740,1293,238299629,1293,284277400
1,500000,5,1,1,2,1293,238223842,1293,295658740,1293,238309826,1293,295184605
1,500000,5,1,1,3,1293,238223842,1293,295658740,1293,240027484,1293,293181125
1,500000,5,1,1,4,1293,238223842,1293,295658740,1293,243409224,1293,295614246
1,500000,5,1,2,0,1293,389284513,1293,447068236,1293,389346748,1293,439120395
1,500000,5,1,2,1,1293,389284513,1293,447068236,1293,389356457,1293,447016827
1,500000,5,1,2,2,1293,389284513,1293,447068236,1293,389369728,1293,420970056
1,500000,5,1,2,3,1293,389284513,1293,447068236,1293,393226792,1293,446712495
1,500000,5,1,2,4,1293,389284513,1293,447068236,1293,393249004,1293,445381662
1,500000,5,1,3,0,1293,538687316,1293,593781992,1293,538749552,1293,592947645
1,500000,5,1,3,1,1293,538687316,1293,593781992,1293,538759261,1293,592233718
1,500000,5,1,3,2,1293,538687316,1293,593781992,1293,538772392,1293,568423164
1,500000,5,1,3,3,1293,538687316,1293,593781992,1293,548014396,1293,593731282
1,500000,5,1,3,4,1293,538687316,1293,593781992,1293,548027248,1293,587527920
1,500000,5,2,1,0,1293,709205690,1293,795048605,1293,709269182,1293,794587671
1,500000,5,2,1,1,1293,709205690,1293,795048605,1293,709282593,1293,794889209
1,500000,5,2,1,2,1293,709205690,1293,795048605,1293,709283641,1293,795018639
1,500000,5,2,1,3,1293,709205690,1293,795048605,1293,709292861,1293,794393072
1,500000,5,2,1,4,1293,709205690,1293,795048605,1293,709296214,1293,792283631
1,500000,5,2,2,0,1293,899645843,1293,988094267,1293,899799302,1293,988045163
1,500000,5,2,2,1,1293,899645843,1293,988094267,1293,899721071,1293,983241645
1,500000,5,2,2,2,1293,899645843,1293,988094267,1293,899732526,1293,987652471
1,500000,5,2,2,3,1293,899645843,1293,988094267,1293,899825635,1293,987966373
1,500000,5,2,2,4,1293,899645843,1293,988094267,1293,899841560,1293,987825068
1,500000,5,2,3,0,1294,90570330,1294,178948200,1294,90632984,1294,178912926
1,500000,5,2,3,1,1294,90570330,1294,178948200,1294,90641576,1294,177870290
1,500000,5,2,3,2,1294,90570330,1294,178948200,1294,90657082,1294,176970146
1,500000,5,2,3,3,1294,90570330,1294,178948200,1294,90698154,1294,178811435
1,500000,5,2,3,4,1294,90570330,1294,178948200,1294,90710517,1294,178200257
1,500000,6,0,1,0,1294,309956501,1294,373997070,1294,310031728,1294,369063216
1,500000,6,0,1,1,1294,309956501,1294,373997070,1294,310227236,1294,371945745
1,500000,6,0,1,2,1294,309956501,1294,373997070,1294,310433779,1294,373854928
1,500000,6,0,1,3,1294,309956501,1294,373997070,1294,310450054,1294,373804986
1,500000,6,0,1,4,1294,309956501,1294,373997070,1294,310440135,1294,371529445
1,500000,6,0,1,5,1294,309956501,1294,373997070,1294,310457737,1294,373862890
1,500000,6,0,2,0,1294,482421163,1294,536607715,1294,482486053,1294,484859871
1,500000,6,0,2,1,1294,482421163,1294,536607715,1294,484895005,1294,516604427
1,500000,6,0,2,2,1294,482421163,1294,536607715,1294,485833147,1294,536562802
1,500000,6,0,2,3,1294,482421163,1294,536607715,1294,486896738,1294,529221532
1,500000,6,0,2,4,1294,482421163,1294,536607715,1294,486944724,1294,529131916
1,500000,6,0,2,5,1294,482421163,1294,536607715,1294,486956529,1294,529728077
1,500000,6,0,3,0,1294,645943407,1294,710531034,1294,646005642,1294,710269030
1,500000,6,0,3,1,1294,645943407,1294,710531034,1294,646014932,1294,710349706
1,500000,6,0,3,2,1294,645943407,1294,710531034,1294,646029601,1294,703282314
1,500000,6,0,3,3,1294,645943407,1294,710531034,1294,646039519,1294,710494084
1,500000,6,0,3,4,1294,645943407,1294,710531034,1294,646052511,1294,710472291
1,500000,6,0,3,5,1294,645943407,1294,710531034,1294,646156866,1294,709753265
1,500000,6,1,1,0,1294,830879329,1294,886007306,1294,830941076,1294,880150607
1,500000,6,1,1,1,1294,830879329,1294,886007306,1294,830950436,1294,876459436
1,500000,6,1,1,2,1294,830879329,1294,886007306,1294,830964475,1294,859264078
1,500000,6,1,1,3,1294,830879329,1294,886007306,1294,832030022,1294,881845143
1,500000,6,1,1,4,1294,830879329,1294,886007306,1294,844038323,1294,885955827
1,500000,6,1,1,5,1294,830879329,1294,886007306,1294,848012661,1294,885161085
