"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
2,decreasing,524288,123456,1,drake,1,23.710358
2,decreasing,524288,123456,1,drake,2,23.855073
2,constant,32768,123456,1,parallel,1,0.750887
2,constant,32768,123456,1,parallel,2,0.734403
2,constant,32768,123456,1,drake,1,0.260097
2,constant,32768,123456,1,drake,2,0.230902
2,constant,131072,123456,1,parallel,1,2.748756
2,constant,131072,123456,1,parallel,2,2.767893
2,constant,131072,123456,1,drake,1,0.746067
2,constant,131072,123456,1,drake,2,0.763947
2,constant,524288,123456,1,parallel,1,12.559794
2,constant,524288,123456,1,parallel,2,12.486319
2,constant,524288,123456,1,drake,1,2.765309
2,constant,524288,123456,1,drake,2,2.788776
3,uniform-random,32768,123456,1,parallel,1,1.582022
3,uniform-random,32768,123456,1,parallel,2,1.437517
3,uniform-random,32768,123456,1,drake,1,2.575614
3,uniform-random,32768,123456,1,drake,2,2.515409
3,uniform-random,32768,123456,2,parallel,1,1.415795
3,uniform-random,32768,123456,2,parallel,2,1.373539
3,uniform-random,32768,123456,2,drake,1,2.507028
3,uniform-random,32768,123456,2,drake,2,2.580015
3,uniform-random,131072,123456,1,parallel,1,5.768084
3,uniform-random,131072,123456,1,parallel,2,5.738611
3,uniform-random,131072,123456,1,drake,1,10.641476
3,uniform-random,131072,123456,1,drake,2,10.649019
3,uniform-random,131072,123456,2,parallel,1,5.787431
3,uniform-random,131072,123456,2,parallel,2,5.775698
3,uniform-random,131072,123456,2,drake,1,10.636936
3,uniform-random,131072,123456,2,drake,2,10.582458
3,uniform-random,524288,123456,1,parallel,1,38.565345
3,uniform-random,524288,123456,1,parallel,2,27.126258
3,uniform-random,524288,123456,1,drake,1,47.936998
3,uniform-random,524288,123456,1,drake,2,44.325189
3,uniform-random,524288,123456,2,parallel,1,25.159817
3,uniform-random,524288,123456,2,parallel,2,28.574321
3,uniform-random,524288,123456,2,drake,1,48.500076
3,uniform-random,524288,123456,2,drake,2,44.224474
3,increasing,32768,123456,1,parallel,1,0.597510
3,increasing,32768,123456,1,parallel,2,0.609174
3,increasing,32768,123456,1,drake,1,1.117354
3,increasing,32768,123456,1,drake,2,1.127971
3,increasing,131072,123456,1,parallel,1,2.301060
3,increasing,131072,123456,1,parallel,2,2.317682
3,increasing,131072,123456,1,drake,1,4.566779
3,increasing,131072,123456,1,drake,2,4.487716
3,increasing,524288,123456,1,parallel,1,9.605001
3,increasing,524288,123456,1,parallel,2,9.721918
3,increasing,524288,123456,1,drake,1,18.564020
3,increasing,524288,123456,1,drake,2,18.619335
3,decreasing,32768,123456,1,parallel,1,0.599046
3,decreasing,32768,123456,1,parallel,2,0.625867
3,decreasing,32768,123456,1,drake,1,1.117354
3,decreasing,32768,123456,1,drake,2,1.105202
3,decreasing,131072,123456,1,parallel,1,2.261738
3,decreasing,131072,123456,1,parallel,2,2.234219
3,decreasing,131072,123456,1,drake,1,4.533673
3,decreasing,131072,123456,1,drake,2,4.671963
3,decreasing,524288,123456,1,parallel,1,9.309074
3,decreasing,524288,123456,1,parallel,2,9.295314
3,decreasing,524288,123456,1,drake,1,18.675210
3,decreasing,524288,123456,1,drake,2,18.564019
3,constant,32768,123456,1,parallel,1,0.594018
3,constant,32768,123456,1,parallel,2,0.585567
3,constant,32768,123456,1,drake,1,0.243125
3,constant,32768,123456,1,drake,2,0.244801
3,constant,131072,123456,1,parallel,1,2.228003
3,constant,131072,123456,1,parallel,2,2.263204
3,constant,131072,123456,1,drake,1,0.818564
3,constant,131072,123456,1,drake,2,0.828273
3,constant,524288,123456,1,parallel,1,9.223376
3,constant,524288,123456,1,parallel,2,9.293988
3,constant,524288,123456,1,drake,1,2.899757
3,constant,524288,123456,1,drake,2,2.858480
4,uniform-random,32768,123456,1,parallel,1,1.072026
4,uniform-random,32768,123456,1,parallel,2,1.814531
4,uniform-random,32768,123456,1,drake,1,1.885980
4,uniform-random,32768,123456,1,drake,2,1.837439
4,uniform-random,32768,123456,2,parallel,1,1.120637
4,uniform-random,32768,123456,2,parallel,2,1.757609
4,uniform-random,32768,123456,2,drake,1,1.839884
4,uniform-random,32768,123456,2,drake,2,1.870685
4,uniform-random,131072,123456,1,parallel,1,7.502995
4,uniform-random,131072,123456,1,parallel,2,4.411168
4,uniform-random,131072,123456,1,drake,1,7.891812
4,uniform-random,131072,123456,1,drake,2,7.913533
4,uniform-random,131072,123456,2,parallel,1,7.511166
4,uniform-random,131072,123456,2,parallel,2,7.550348
4,uniform-random,131072,123456,2,drake,1,7.875190
4,uniform-random,131072,123456,2,drake,2,7.932251
4,uniform-random,524288,123456,1,parallel,1,18.409665
4,uniform-random,524288,123456,1,parallel,2,21.056520
4,uniform-random,524288,123456,1,drake,1,36.928356
4,uniform-random,524288,123456,1,drake,2,36.760173
4,uniform-random,524288,123456,2,parallel,1,22.542646
4,uniform-random,524288,123456,2,parallel,2,32.216373
4,uniform-random,524288,123456,2,drake,1,36.975570
4,uniform-random,524288,123456,2,drake,2,35.191630
4,increasing,32768,123456,1,parallel,1,0.482618
4,increasing,32768,123456,1,parallel,2,0.759407
4,increasing,32768,123456,1,drake,1,0.783573
4,increasing,32768,123456,1,drake,2,0.798380
4,increasing,131072,123456,1,parallel,1,2.841648
4,increasing,131072,123456,1,parallel,2,2.801418
4,increasing,131072,123456,1,drake,1,3.400045
4,increasing,131072,123456,1,drake,2,3.387055
4,increasing,524288,123456,1,parallel,1,11.516125
4,increasing,524288,123456,1,parallel,2,6.462537
4,increasing,524288,123456,1,drake,1,14.096208
4,increasing,524288,123456,1,drake,2,14.123936
4,decreasing,32768,123456,1,parallel,1,0.691519
4,decreasing,32768,123456,1,parallel,2,0.461316
4,decreasing,32768,123456,1,drake,1,0.782804
4,decreasing,32768,123456,1,drake,2,0.788253
4,decreasing,131072,123456,1,parallel,1,2.744495
4,decreasing,131072,123456,1,parallel,2,1.567285
4,decreasing,131072,123456,1,drake,1,3.364984
4,decreasing,131072,123456,1,drake,2,3.417157
4,decreasing,524288,123456,1,parallel,1,6.047248
4,decreasing,524288,123456,1,parallel,2,10.665432
4,decreasing,524288,123456,1,drake,1,14.151804
