"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
2,decreasing,16384,123456,1,drake,1,0.755007
2,decreasing,16384,123456,1,drake,2,0.702554
2,constant,1024,123456,1,parallel,1,0.174468
2,constant,1024,123456,1,parallel,2,0.151420
2,constant,1024,123456,1,drake,1,0.050497
2,constant,1024,123456,1,drake,2,0.050078
2,constant,4096,123456,1,parallel,1,0.230204
2,constant,4096,123456,1,parallel,2,0.245569
2,constant,4096,123456,1,drake,1,0.080390
2,constant,4096,123456,1,drake,2,0.068307
2,constant,16384,123456,1,parallel,1,0.570201
2,constant,16384,123456,1,parallel,2,0.587732
2,constant,16384,123456,1,drake,1,0.135077
2,constant,16384,123456,1,drake,2,0.145903
3,uniform-random,1024,123456,1,parallel,1,0.456775
3,uniform-random,1024,123456,1,parallel,2,0.672662
3,uniform-random,1024,123456,1,drake,1,0.138988
3,uniform-random,1024,123456,1,drake,2,0.137801
3,uniform-random,1024,123456,2,parallel,1,0.191929
3,uniform-random,1024,123456,2,parallel,2,0.183478
3,uniform-random,1024,123456,2,drake,1,0.140246
3,uniform-random,1024,123456,2,drake,2,0.149395
3,uniform-random,4096,123456,1,parallel,1,0.904751
3,uniform-random,4096,123456,1,parallel,2,0.396920
3,uniform-random,4096,123456,1,drake,1,0.364791
3,uniform-random,4096,123456,1,drake,2,0.350893
3,uniform-random,4096,123456,2,parallel,1,0.391472
3,uniform-random,4096,123456,2,parallel,2,0.378971
3,uniform-random,4096,123456,2,drake,1,0.354874
3,uniform-random,4096,123456,2,drake,2,0.351801
3,uniform-random,16384,123456,1,parallel,1,1.094376
3,uniform-random,16384,123456,1,parallel,2,1.109322
3,uniform-random,16384,123456,1,drake,1,1.273873
3,uniform-random,16384,123456,1,drake,2,1.231618
3,uniform-random,16384,123456,2,parallel,1,1.102617
3,uniform-random,16384,123456,2,parallel,2,1.151856
3,uniform-random,16384,123456,2,drake,1,1.230849
3,uniform-random,16384,123456,2,drake,2,1.220094
3,increasing,1024,123456,1,parallel,1,0.119851
3,increasing,1024,123456,1,parallel,2,0.144506
3,increasing,1024,123456,1,drake,1,0.109794
3,increasing,1024,123456,1,drake,2,0.103368
3,increasing,4096,123456,1,parallel,1,0.196959
3,increasing,4096,123456,1,parallel,2,0.199752
3,increasing,4096,123456,1,drake,1,0.199752
3,increasing,4096,123456,1,drake,2,0.199194
3,increasing,16384,123456,1,parallel,1,0.542124
3,increasing,16384,123456,1,parallel,2,0.523406
3,increasing,16384,123456,1,drake,1,0.640184
3,increasing,16384,123456,1,drake,2,0.598487
3,decreasing,1024,123456,1,parallel,1,0.227480
3,decreasing,1024,123456,1,parallel,2,0.505876
3,decreasing,1024,123456,1,drake,1,0.105743
3,decreasing,1024,123456,1,drake,2,0.095825
3,decreasing,4096,123456,1,parallel,1,0.963978
3,decreasing,4096,123456,1,parallel,2,1.029352
3,decreasing,4096,123456,1,drake,1,0.187948
3,decreasing,4096,123456,1,drake,2,0.199822
3,decreasing,16384,123456,1,parallel,1,11.916952
3,decreasing,16384,123456,1,parallel,2,11.912622
3,decreasing,16384,123456,1,drake,1,0.603377
3,decreasing,16384,123456,1,drake,2,0.615180
3,constant,1024,123456,1,parallel,1,0.150722
3,constant,1024,123456,1,parallel,2,0.240122
3,constant,1024,123456,1,drake,1,0.072777
3,constant,1024,123456,1,drake,2,0.086397
3,constant,4096,123456,1,parallel,1,0.510485
3,constant,4096,123456,1,parallel,2,0.225734
3,constant,4096,123456,1,drake,1,0.093380
3,constant,4096,123456,1,drake,2,0.098689
3,constant,16384,123456,1,parallel,1,0.590945
3,constant,16384,123456,1,parallel,2,0.934364
3,constant,16384,123456,1,drake,1,0.188647
3,constant,16384,123456,1,drake,2,0.161687
4,uniform-random,1024,123456,1,parallel,1,0.172653
4,uniform-random,1024,123456,1,parallel,2,0.173631
4,uniform-random,1024,123456,1,drake,1,0.119921
4,uniform-random,1024,123456,1,drake,2,0.118524
4,uniform-random,1024,123456,2,parallel,1,0.193886
4,uniform-random,1024,123456,2,parallel,2,0.605891
4,uniform-random,1024,123456,2,drake,1,0.126067
4,uniform-random,1024,123456,2,drake,2,0.120619
4,uniform-random,4096,123456,1,parallel,1,0.413403
4,uniform-random,4096,123456,1,parallel,2,0.392938
4,uniform-random,4096,123456,1,drake,1,0.276579
4,uniform-random,4096,123456,1,drake,2,0.275881
4,uniform-random,4096,123456,2,parallel,1,0.397479
4,uniform-random,4096,123456,2,parallel,2,0.393987
4,uniform-random,4096,123456,2,drake,1,0.276440
4,uniform-random,4096,123456,2,drake,2,0.272249
4,uniform-random,16384,123456,1,parallel,1,1.108624
4,uniform-random,16384,123456,1,parallel,2,1.154371
4,uniform-random,16384,123456,1,drake,1,0.897627
4,uniform-random,16384,123456,1,drake,2,0.904681
4,uniform-random,16384,123456,2,parallel,1,1.119659
4,uniform-random,16384,123456,2,parallel,2,1.150180
4,uniform-random,16384,123456,2,drake,1,0.905031
4,uniform-random,16384,123456,2,drake,2,0.933735
4,increasing,1024,123456,1,parallel,1,0.175028
4,increasing,1024,123456,1,parallel,2,0.154074
4,increasing,1024,123456,1,drake,1,0.101412
4,increasing,1024,123456,1,drake,2,0.100714
4,increasing,4096,123456,1,parallel,1,0.271132
4,increasing,4096,123456,1,parallel,2,0.269036
4,increasing,4096,123456,1,drake,1,0.163923
4,increasing,4096,123456,1,drake,2,0.166926
4,increasing,16384,123456,1,parallel,1,0.589338
4,increasing,16384,123456,1,parallel,2,0.594786
4,increasing,16384,123456,1,drake,1,0.457404
4,increasing,16384,123456,1,drake,2,0.457265
4,decreasing,1024,123456,1,parallel,1,0.582004
4,decreasing,1024,123456,1,parallel,2,0.250877
4,decreasing,1024,123456,1,drake,1,0.100155
4,decreasing,1024,123456,1,drake,2,0.095895
4,decreasing,4096,123456,1,parallel,1,1.041574
4,decreasing,4096,123456,1,parallel,2,1.061689
4,decreasing,4096,123456,1,drake,1,0.161757
4,decreasing,4096,123456,1,drake,2,0.167554
4,decreasing,16384,123456,1,parallel,1,12.242352
4,decreasing,16384,123456,1,parallel,2,11.978554
4,decreasing,16384,123456,1,drake,1,0.465017
4,decreasing,16384,123456,1,drake,2,0.502593
4,constant,1024,123456,1,parallel,1,0.171396
4,constant,1024,123456,1,parallel,2,0.170208
4,constant,1024,123456,1,drake,1,0.080040
4,constant,1024,123456,1,drake,2,0.073685
4,constant,4096,123456,1,parallel,1,0.283843
4,constant,4096,123456,1,parallel,2,0.308428
4,constant,4096,123456,1,drake,1,0.081578
4,constant,4096,123456,1,drake,2,0.096872
4,constant,16384,123456,1,parallel,1,0.649962
4,constant,16384,123456,1,parallel,2,0.659880
4,constant,16384,123456,1,drake,1,0.140595
4,constant,16384,123456,1,drake,2,0.136055
