"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
2,decreasing,16384,123456,1,drake,1,0.777284
2,decreasing,16384,123456,1,drake,2,0.732863
2,constant,1024,123456,1,parallel,1,0.149325
2,constant,1024,123456,1,parallel,2,0.124810
2,constant,1024,123456,1,drake,1,0.067468
2,constant,1024,123456,1,drake,2,0.046725
2,constant,4096,123456,1,parallel,1,0.232368
2,constant,4096,123456,1,parallel,2,0.234463
2,constant,4096,123456,1,drake,1,0.060833
2,constant,4096,123456,1,drake,2,0.071938
2,constant,16384,123456,1,parallel,1,0.595971
2,constant,16384,123456,1,parallel,2,0.641927
2,constant,16384,123456,1,drake,1,0.151001
2,constant,16384,123456,1,drake,2,0.133819
3,uniform-random,1024,123456,1,parallel,1,0.170906
3,uniform-random,1024,123456,1,parallel,2,0.158404
3,uniform-random,1024,123456,2,parallel,1,0.160081
3,uniform-random,1024,123456,2,parallel,2,0.199402
3,uniform-random,4096,123456,1,parallel,1,0.324841
3,uniform-random,4096,123456,1,parallel,2,0.337551
3,uniform-random,4096,123456,2,parallel,1,0.382251
3,uniform-random,4096,123456,2,parallel,2,0.337971
3,uniform-random,16384,123456,1,parallel,1,1.178532
3,uniform-random,16384,123456,1,parallel,2,1.297335
3,uniform-random,16384,123456,2,parallel,1,1.132855
3,uniform-random,16384,123456,2,parallel,2,1.180418
3,increasing,1024,123456,1,parallel,1,0.435751
3,increasing,1024,123456,1,parallel,2,0.215257
3,increasing,4096,123456,1,parallel,1,0.219866
3,increasing,4096,123456,1,parallel,2,0.217072
3,increasing,16384,123456,1,parallel,1,1.255709
3,increasing,16384,123456,1,parallel,2,0.570338
3,decreasing,1024,123456,1,parallel,1,0.282096
3,decreasing,1024,123456,1,parallel,2,0.404601
3,decreasing,4096,123456,1,parallel,1,1.015658
3,decreasing,4096,123456,1,parallel,2,1.276103
3,decreasing,16384,123456,1,parallel,1,12.212131
3,decreasing,16384,123456,1,parallel,2,12.168969
3,constant,1024,123456,1,parallel,1,0.447833
3,constant,1024,123456,1,parallel,2,0.154143
3,constant,4096,123456,1,parallel,1,0.585844
3,constant,4096,123456,1,parallel,2,0.239282
3,constant,16384,123456,1,parallel,1,0.780705
3,constant,16384,123456,1,parallel,2,0.622023
4,uniform-random,1024,123456,1,parallel,1,0.461663
4,uniform-random,1024,123456,1,parallel,2,0.184665
4,uniform-random,1024,123456,2,parallel,1,0.179008
4,uniform-random,1024,123456,2,parallel,2,0.269315
4,uniform-random,4096,123456,1,parallel,1,0.632849
4,uniform-random,4096,123456,1,parallel,2,0.452723
4,uniform-random,4096,123456,2,parallel,1,0.560631
4,uniform-random,4096,123456,2,parallel,2,0.655059
4,uniform-random,16384,123456,1,parallel,1,1.171618
4,uniform-random,16384,123456,1,parallel,2,1.080961
4,uniform-random,16384,123456,2,parallel,1,1.415859
4,uniform-random,16384,123456,2,parallel,2,0.947980
4,increasing,1024,123456,1,parallel,1,0.433656
4,increasing,1024,123456,1,parallel,2,0.149395
4,increasing,4096,123456,1,parallel,1,0.196259
4,increasing,4096,123456,1,parallel,2,0.245708
4,increasing,16384,123456,1,parallel,1,0.598136
4,increasing,16384,123456,1,parallel,2,0.554624
4,decreasing,1024,123456,1,parallel,1,0.219726
4,decreasing,1024,123456,1,parallel,2,0.271550
4,decreasing,4096,123456,1,parallel,1,1.004623
4,decreasing,4096,123456,1,parallel,2,1.008115
4,decreasing,16384,123456,1,parallel,1,12.278063
